iter	Passed	Remaining
0	135	135321
1	136	68014
2	137	45568
3	137	34337
4	138	27601
5	139	23182
6	141	20101
7	143	17737
8	144	15892
9	145	14381
10	146	13144
11	147	12122
12	148	11294
13	150	10581
14	151	9940
15	152	9388
16	154	8924
17	156	8528
18	157	8125
19	158	7757
20	159	7428
21	160	7122
22	161	6856
23	162	6600
24	163	6361
25	163	6139
26	164	5933
27	165	5739
28	166	5567
29	168	5445
30	170	5317
31	171	5179
32	172	5052
33	173	4922
34	174	4798
35	174	4683
36	176	4582
37	177	4484
38	177	4385
39	178	4291
40	179	4203
41	182	4158
42	184	4116
43	186	4045
44	187	3969
45	187	3895
46	188	3824
47	189	3764
48	190	3706
49	191	3647
50	192	3587
51	193	3533
52	195	3495
53	198	3476
54	199	3426
55	200	3377
56	201	3329
57	202	3281
58	203	3241
59	204	3197
60	204	3153
61	205	3111
62	206	3070
63	207	3031
64	208	2996
65	209	2970
66	211	2948
67	212	2918
68	213	2885
69	214	2854
70	215	2822
71	216	2792
72	218	2769
73	218	2739
74	219	2710
75	220	2681
76	221	2652
77	221	2623
78	223	2604
79	225	2591
80	227	2580
81	228	2558
82	229	2530
83	229	2506
84	230	2483
85	232	2467
86	233	2455
87	276	2865
88	278	2846
89	280	2837
90	282	2818
91	283	2797
92	284	2775
93	290	2796
94	291	2776
95	293	2762
96	294	2745
97	296	2726
98	297	2706
99	298	2688
100	311	2772
101	312	2752
102	313	2731
103	315	2713
104	316	2694
105	319	2691
106	320	2675
107	321	2654
108	322	2635
109	323	2615
110	324	2597
111	325	2578
112	326	2559
113	341	2651
114	342	2633
115	343	2614
116	344	2602
117	345	2585
118	346	2567
119	348	2554
120	351	2555
121	352	2538
122	353	2521
123	354	2504
124	355	2489
125	356	2473
126	357	2455
127	358	2440
128	359	2424
129	359	2408
130	360	2393
131	362	2383
132	363	2372
133	365	2362
134	367	2352
135	368	2338
136	369	2325
137	370	2312
138	370	2297
139	371	2284
140	372	2270
141	373	2256
142	374	2245
143	376	2238
144	378	2232
145	381	2230
146	382	2218
147	383	2206
148	384	2195
149	385	2183
150	386	2173
151	387	2161
152	388	2151
153	390	2143
154	391	2136
155	394	2133
156	395	2122
157	396	2110
158	396	2099
159	397	2087
160	398	2074
161	398	2063
162	400	2054
163	400	2044
164	402	2034
165	402	2024
166	403	2013
167	404	2003
168	406	1997
169	408	1994
170	409	1986
171	410	1977
172	411	1968
173	412	1958
174	413	1949
175	414	1941
176	415	1934
177	416	1924
178	417	1916
179	419	1909
180	422	1909
181	425	1914
182	426	1905
183	428	1898
184	429	1892
185	431	1887
186	432	1882
187	434	1875
188	436	1873
189	437	1867
190	439	1862
191	443	1865
192	444	1857
193	445	1849
194	446	1842
195	447	1837
196	454	1851
197	455	1843
198	456	1835
199	457	1828
200	458	1821
201	459	1814
202	460	1807
203	461	1799
204	462	1794
205	463	1787
206	464	1781
207	466	1777
208	468	1773
209	469	1766
210	470	1759
211	471	1752
212	472	1745
213	475	1745
214	478	1748
215	480	1745
216	481	1738
217	482	1731
218	483	1725
219	485	1721
220	487	1716
221	488	1711
222	489	1705
223	491	1703
224	493	1701
225	496	1700
226	497	1695
227	498	1688
228	499	1681
229	500	1675
230	501	1669
231	503	1665
232	504	1659
233	511	1674
234	513	1672
235	514	1667
236	516	1662
237	517	1656
238	522	1665
239	524	1660
240	525	1655
241	526	1648
242	527	1642
243	528	1636
244	528	1629
245	529	1623
246	530	1616
247	531	1610
248	532	1604
249	532	1598
250	533	1593
251	535	1588
252	536	1584
253	537	1580
254	539	1575
255	540	1570
256	541	1565
257	542	1560
258	543	1555
259	544	1549
260	545	1544
261	546	1539
262	547	1533
263	548	1529
264	549	1524
265	550	1519
266	552	1515
267	553	1511
268	554	1506
269	555	1501
270	556	1497
271	557	1493
272	558	1488
273	559	1482
274	560	1477
275	561	1472
276	562	1467
277	563	1462
278	564	1457
279	565	1454
280	566	1449
281	567	1444
282	568	1439
283	569	1435
284	570	1430
285	571	1425
286	572	1421
287	572	1416
288	574	1413
289	575	1409
290	576	1405
291	579	1405
292	583	1407
293	584	1403
294	585	1398
295	586	1394
296	587	1389
297	588	1385
298	589	1381
299	590	1378
300	591	1373
301	592	1369
302	593	1366
303	595	1362
304	596	1359
305	597	1355
306	598	1350
307	599	1345
308	599	1341
309	600	1337
310	602	1334
311	603	1330
312	604	1325
313	605	1321
314	606	1317
315	608	1316
316	609	1313
317	611	1310
318	612	1306
319	613	1302
320	614	1298
321	615	1295
322	616	1291
323	616	1286
324	617	1282
325	618	1278
326	619	1275
327	621	1272
328	622	1269
329	624	1267
330	625	1264
331	626	1261
332	627	1257
333	628	1253
334	629	1249
335	630	1245
336	630	1241
337	631	1237
338	632	1233
339	633	1230
340	634	1226
341	635	1223
342	636	1219
343	637	1215
344	638	1211
345	639	1208
346	639	1204
347	641	1200
348	643	1200
349	645	1198
350	646	1195
351	647	1192
352	648	1188
353	650	1186
354	651	1184
355	653	1181
356	654	1179
357	655	1175
358	656	1172
359	657	1169
360	659	1167
361	660	1164
362	661	1160
363	662	1157
364	663	1153
365	664	1150
366	665	1148
367	667	1145
368	668	1142
369	668	1138
370	669	1135
371	670	1132
372	671	1129
373	672	1125
374	673	1122
375	674	1118
376	675	1115
377	675	1112
378	676	1108
379	677	1105
380	681	1106
381	682	1104
382	683	1101
383	684	1098
384	685	1095
385	686	1092
386	687	1088
387	688	1085
388	689	1082
389	689	1079
390	691	1076
391	692	1073
392	693	1071
393	695	1069
394	696	1067
395	698	1065
396	699	1062
397	700	1059
398	701	1056
399	702	1053
400	703	1050
401	704	1047
402	704	1044
403	705	1041
404	706	1038
405	707	1035
406	709	1033
407	710	1031
408	713	1030
409	714	1028
410	715	1025
411	716	1022
412	717	1019
413	718	1016
414	719	1013
415	719	1010
416	720	1007
417	721	1004
418	722	1002
419	724	1001
420	727	1000
421	728	997
422	730	996
423	732	994
424	733	991
425	734	989
426	735	986
427	736	984
428	738	982
429	739	980
430	741	978
431	742	976
432	743	973
433	744	970
434	744	967
435	745	964
436	746	961
437	747	959
438	748	956
439	749	953
440	749	950
441	752	950
442	753	947
443	755	945
444	756	943
445	757	940
446	758	937
447	759	935
448	759	932
449	760	929
450	761	926
451	762	923
452	762	921
453	763	918
454	764	915
455	765	913
456	767	911
457	769	910
458	770	908
459	771	906
460	772	903
461	773	900
462	774	898
463	775	895
464	776	892
465	776	890
466	778	888
467	779	886
468	781	884
469	782	882
470	784	880
471	784	878
472	785	875
473	786	872
474	787	870
475	788	867
476	789	865
477	789	862
478	790	860
479	791	857
480	792	855
481	793	852
482	794	850
483	796	848
484	797	847
485	798	844
486	799	842
487	800	840
488	801	837
489	802	835
490	803	832
491	804	830
492	805	828
493	806	825
494	807	823
495	807	820
496	808	818
497	809	816
498	811	814
499	812	812
500	813	810
501	814	808
502	815	805
503	816	803
504	817	800
505	818	798
506	818	796
507	819	793
508	820	791
509	821	789
510	822	786
511	823	784
512	825	783
513	827	782
514	828	779
515	829	777
516	829	775
517	830	772
518	831	770
519	832	768
520	833	765
521	833	763
522	835	762
523	836	760
524	839	759
525	840	757
526	842	755
527	843	754
528	844	751
529	845	749
530	846	747
531	846	745
532	847	742
533	848	740
534	849	738
535	850	735
536	850	733
537	851	731
538	854	730
539	855	728
540	856	726
541	857	724
542	858	722
543	859	720
544	860	718
545	861	715
546	862	714
547	863	712
548	864	709
549	864	707
550	865	705
551	866	703
552	867	701
553	869	699
554	871	698
555	872	696
556	873	694
557	873	692
558	874	689
559	875	687
560	876	685
561	877	683
562	878	681
563	879	679
564	879	677
565	880	675
566	881	673
567	883	672
568	885	670
569	886	668
570	888	667
571	890	665
572	890	663
573	891	661
574	892	659
575	893	657
576	894	655
577	895	653
578	896	651
579	898	650
580	900	649
581	901	647
582	902	645
583	903	643
584	904	641
585	905	639
586	906	637
587	906	635
588	907	633
589	908	631
590	911	630
591	913	629
592	916	628
593	916	626
594	917	624
595	918	622
596	919	620
597	920	618
598	920	616
599	921	614
600	922	612
601	923	610
602	924	608
603	925	606
604	927	605
605	929	604
606	930	602
607	931	600
608	932	598
609	933	596
610	934	594
611	935	592
612	936	590
613	936	588
614	937	587
615	938	585
616	939	583
617	940	581
618	944	581
619	945	579
620	946	577
621	947	575
622	947	573
623	948	571
624	949	569
625	950	567
626	951	565
627	951	563
628	952	562
629	954	560
630	955	558
631	957	557
632	959	556
633	960	554
634	961	552
635	962	550
636	963	548
637	963	546
638	964	544
639	965	543
640	966	541
641	967	539
642	968	537
643	969	535
644	972	535
645	973	533
646	973	531
647	974	529
648	975	527
649	976	525
650	977	524
651	978	522
652	979	520
653	980	518
654	981	516
655	982	515
656	984	514
657	986	512
658	987	510
659	988	508
660	988	507
661	989	505
662	991	503
663	992	502
664	993	500
665	994	498
666	995	496
667	996	495
668	998	494
669	1000	492
670	1002	491
671	1003	489
672	1004	488
673	1005	486
674	1006	484
675	1006	482
676	1007	480
677	1009	479
678	1009	477
679	1010	475
680	1012	474
681	1015	473
682	1017	472
683	1018	470
684	1019	468
685	1019	466
686	1020	465
687	1021	463
688	1022	461
689	1023	459
690	1024	458
691	1025	456
692	1025	454
693	1028	453
694	1030	452
695	1031	450
696	1032	449
697	1033	447
698	1034	445
699	1035	443
700	1036	442
701	1037	440
702	1038	438
703	1039	436
704	1039	435
705	1041	433
706	1042	431
707	1044	430
708	1046	429
709	1047	427
710	1048	426
711	1049	424
712	1050	422
713	1051	421
714	1052	419
715	1053	417
716	1054	416
717	1055	414
718	1056	412
719	1057	411
720	1060	410
721	1061	408
722	1062	407
723	1064	405
724	1065	404
725	1066	402
726	1067	400
727	1068	399
728	1070	398
729	1072	396
730	1074	395
731	1076	394
732	1077	392
733	1079	391
734	1080	389
735	1081	387
736	1082	386
737	1083	384
738	1084	382
739	1086	381
740	1087	380
741	1089	378
742	1091	377
743	1092	375
744	1093	374
745	1093	372
746	1094	370
747	1096	369
748	1096	367
749	1097	365
750	1098	364
751	1099	362
752	1101	361
753	1103	359
754	1105	358
755	1106	357
756	1107	355
757	1108	353
758	1109	352
759	1110	350
760	1111	348
761	1112	347
762	1113	345
763	1114	344
764	1115	342
765	1117	341
766	1119	340
767	1120	338
768	1121	336
769	1122	335
770	1123	333
771	1124	332
772	1125	330
773	1126	328
774	1127	327
775	1128	325
776	1129	324
777	1132	323
778	1134	321
779	1135	320
780	1137	318
781	1138	317
782	1139	315
783	1140	314
784	1141	312
785	1142	311
786	1144	309
787	1147	308
788	1148	307
789	1149	305
790	1150	303
791	1151	302
792	1152	300
793	1153	299
794	1154	297
795	1154	295
796	1155	294
797	1156	292
798	1157	291
799	1159	289
800	1162	288
801	1163	287
802	1163	285
803	1164	283
804	1165	282
805	1166	280
806	1167	279
807	1168	277
808	1169	276
809	1170	274
810	1170	272
811	1172	271
812	1174	270
813	1177	268
814	1178	267
815	1179	266
816	1180	264
817	1182	263
818	1183	261
819	1184	259
820	1185	258
821	1186	256
822	1188	255
823	1190	254
824	1191	252
825	1192	251
826	1193	249
827	1194	248
828	1195	246
829	1196	245
830	1197	243
831	1198	241
832	1199	240
833	1200	238
834	1201	237
835	1202	235
836	1203	234
837	1205	233
838	1206	231
839	1207	229
840	1208	228
841	1209	226
842	1210	225
843	1211	223
844	1212	222
845	1213	220
846	1214	219
847	1215	217
848	1217	216
849	1219	215
850	1220	213
851	1221	212
852	1222	210
853	1223	209
854	1224	207
855	1225	206
856	1226	204
857	1227	203
858	1228	201
859	1228	200
860	1229	198
861	1231	197
862	1233	195
863	1234	194
864	1235	192
865	1236	191
866	1237	189
867	1238	188
868	1239	186
869	1239	185
870	1240	183
871	1241	182
872	1242	180
873	1243	179
874	1244	177
875	1260	178
876	1262	177
877	1264	175
878	1265	174
879	1266	172
880	1267	171
881	1268	169
882	1269	168
883	1270	166
884	1270	165
885	1271	163
886	1272	162
887	1273	160
