iter	Passed	Remaining
0	2	203
1	3	170
2	5	167
3	7	177
4	8	169
5	10	161
6	11	155
7	12	148
8	14	143
9	15	139
10	16	136
11	18	132
12	19	128
13	20	125
14	21	122
15	22	120
16	24	118
17	25	116
18	26	113
19	27	111
20	29	109
21	30	107
22	31	105
23	33	104
24	34	102
25	35	100
26	36	99
27	37	96
28	38	94
29	39	92
30	40	91
31	42	89
32	43	88
33	44	86
34	45	85
35	46	83
36	48	81
37	49	80
38	50	79
39	51	77
40	52	75
41	53	73
42	54	71
43	55	70
44	56	69
45	57	67
46	58	66
47	60	65
48	61	63
49	62	62
50	63	60
51	64	59
52	65	58
53	67	57
54	68	55
55	69	54
56	70	52
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	77	45
63	78	43
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	85	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
